n,t,dt,action,error
354,3.715690410017218e-05,1e-12,accept,9.049222122649125e-20
355,3.715690510017218e-05,1e-12,accept,9.051396786867028e-20
356,3.715690610017218e-05,1e-12,accept,9.045922880851559e-20
357,3.7156907100172186e-05,1e-12,accept,9.049992651951372e-20
358,3.715690810017219e-05,1e-12,accept,9.061064470779154e-20
359,3.715690910017219e-05,1e-12,accept,9.063548701965731e-20
360,3.7156910100172194e-05,1e-12,accept,9.052233820006366e-20
361,3.71569111001722e-05,1e-12,accept,9.042198129298416e-20
362,3.71569121001722e-05,1e-12,accept,9.041235666975624e-20
363,3.71569131001722e-05,1e-12,accept,9.053623099595417e-20
364,3.7156914100172205e-05,1e-12,accept,9.053298418707659e-20
365,3.715691510017221e-05,1e-12,accept,9.036327357671192e-20
366,3.715691610017221e-05,1e-12,accept,9.046067905438777e-20
367,3.715691710017221e-05,1e-12,accept,9.057392552018477e-20
368,3.7156918100172216e-05,1e-12,accept,9.04198723196952e-20
369,3.715691910017222e-05,1e-12,accept,9.067522056897565e-20
370,3.715692010017222e-05,1e-12,accept,9.044118096688525e-20
371,3.7156921100172225e-05,1e-12,accept,9.054166186779343e-20
372,3.715692210017223e-05,1e-12,accept,9.056460141486362e-20
373,3.715692310017223e-05,1e-12,accept,9.031875865448661e-20
374,3.715692410017223e-05,1e-12,accept,9.05923508381292e-20
375,3.7156925100172236e-05,1e-12,accept,9.040879230660171e-20
376,3.715692610017224e-05,1e-12,accept,9.042847737731844e-20
377,3.715692710017224e-05,1e-12,accept,9.052158239609372e-20
378,3.7156928100172244e-05,1e-12,accept,9.045949104193196e-20
379,3.715692910017225e-05,1e-12,accept,9.045055216470533e-20
380,3.715693010017225e-05,1e-12,accept,9.051051877859658e-20
381,3.715693110017225e-05,1e-12,accept,9.041193150156463e-20
382,3.7156932100172255e-05,1e-12,accept,9.049355710852661e-20
383,3.715693310017226e-05,1e-12,accept,9.058316648052399e-20
384,3.715693410017226e-05,1e-12,accept,9.053553940491849e-20
385,3.7156935100172263e-05,1e-12,accept,9.05611936127637e-20
386,3.7156936100172266e-05,1e-12,accept,9.04610484779657e-20
387,3.715693710017227e-05,1e-12,accept,9.041545213807546e-20
388,3.715693810017227e-05,1e-12,accept,9.060426552568211e-20
389,3.7156939100172275e-05,1e-12,accept,9.052904807514507e-20
390,3.715694010017228e-05,1e-12,accept,9.062738892661622e-20
391,3.715694110017228e-05,1e-12,accept,9.037731913695372e-20
392,3.715694210017228e-05,1e-12,accept,9.0601869364323e-20
393,3.7156943100172286e-05,1e-12,accept,9.050823433883486e-20
394,3.715694410017229e-05,1e-12,accept,9.050992089684153e-20
395,3.715694510017229e-05,1e-12,accept,9.042886963180595e-20
396,3.7156946100172294e-05,1e-12,accept,9.058773822638036e-20
397,3.71569471001723e-05,1e-12,accept,9.049341581071822e-20
398,3.71569481001723e-05,1e-12,accept,9.051276018104928e-20
399,3.71569491001723e-05,1e-12,accept,9.056296260817605e-20
400,3.7156950100172305e-05,1e-12,accept,9.03792110915626e-20
401,3.715695110017231e-05,1e-12,accept,9.05476212246357e-20
402,3.715695210017231e-05,1e-12,accept,9.045317770951119e-20
403,3.7156953100172313e-05,1e-12,accept,9.0530811312121e-20
404,3.7156954100172316e-05,1e-12,accept,9.03348631406215e-20
405,3.715695510017232e-05,1e-12,accept,9.063853068188257e-20
406,3.715695610017232e-05,1e-12,accept,9.045425159917834e-20
407,3.7156957100172325e-05,1e-12,accept,9.042743353816388e-20
408,3.715695810017233e-05,1e-12,accept,9.059943858067128e-20
409,3.715695910017233e-05,1e-12,accept,9.04458662567133e-20
410,3.715696010017233e-05,1e-12,accept,9.041198691734482e-20
411,3.7156961100172336e-05,1e-12,accept,9.06336125963421e-20
412,3.715696210017234e-05,1e-12,accept,9.044805560244191e-20
413,3.715696310017234e-05,1e-12,accept,9.05058455396675e-20
414,3.7156964100172344e-05,1e-12,accept,9.05008081088478e-20
415,3.715696510017235e-05,1e-12,accept,9.052258258595787e-20
416,3.715696610017235e-05,1e-12,accept,9.062001695524953e-20
417,3.715696710017235e-05,1e-12,accept,9.049907843969629e-20
418,3.7156968100172355e-05,1e-12,accept,9.056939015348365e-20
419,3.715696910017236e-05,1e-12,accept,9.051900489354101e-20
420,3.715697010017236e-05,1e-12,accept,9.043806878188409e-20
421,3.7156971100172364e-05,1e-12,accept,9.046820444724597e-20
422,3.7156972100172366e-05,1e-12,accept,9.043563051095731e-20
