n,t,i,p,u,v
2442,10.162499999999957,3,0.0001248800723430145,2.137282630583927e-06,1.535354656059087e-06
2443,10.174999999999956,1,-,-,-
2444,10.174999999999956,2,-,-,-
2445,10.174999999999956,3,0.0001241266374898539,2.130835008593865e-06,1.5202365202885892e-06
2446,10.187499999999956,1,-,-,-
2447,10.187499999999956,2,-,-,-
2448,10.187499999999956,3,0.0001233710222353935,2.135321152880344e-06,1.5285078930520997e-06
2449,10.199999999999955,1,-,-,-
2450,10.199999999999955,2,-,-,-
2451,10.199999999999955,3,0.0001227207696307163,2.112381225697732e-06,1.5060218873892425e-06
2452,10.212499999999954,1,-,-,-
2453,10.212499999999954,2,-,-,-
2454,10.212499999999954,3,0.00012209304343704976,2.103261186941688e-06,1.501087658214357e-06
2455,10.224999999999953,1,-,-,-
2456,10.224999999999953,2,-,-,-
2457,10.224999999999953,3,0.0001215052306270508,2.139370137188198e-06,1.519143251298834e-06
2458,10.237499999999953,1,-,-,-
2459,10.237499999999953,2,-,-,-
2460,10.237499999999953,3,0.00012089699691369586,2.121677986709186e-06,1.5187535674261435e-06
2461,10.249999999999952,1,-,-,-
2462,10.249999999999952,2,-,-,-
2463,10.249999999999952,3,0.00012037293207138389,2.1243105845801485e-06,1.5175321595905456e-06
2464,10.262499999999951,1,-,-,-
2465,10.262499999999951,2,-,-,-
2466,10.262499999999951,3,0.00011989765917144768,2.10546210844017e-06,1.4933910107881404e-06
2467,10.27499999999995,1,-,-,-
2468,10.27499999999995,2,-,-,-
2469,10.27499999999995,3,0.00011940016305087051,2.1209503855838357e-06,1.508440056321592e-06
2470,10.28749999999995,1,-,-,-
2471,10.28749999999995,2,-,-,-
2472,10.28749999999995,3,0.00011888837772875002,2.1039781684269975e-06,1.4813596209400382e-06
2473,10.29999999999995,1,-,-,-
2474,10.29999999999995,2,-,-,-
2475,10.29999999999995,3,0.00011843839628474746,2.1165442852657795e-06,1.496065808148557e-06
2476,10.312499999999948,1,-,-,-
2477,10.312499999999948,2,-,-,-
2478,10.312499999999948,3,0.00011793582845933575,2.112198136477927e-06,1.4812402509324238e-06
2479,10.324999999999948,1,-,-,-
2480,10.324999999999948,2,-,-,-
2481,10.324999999999948,3,0.00011750064281931275,2.1046243078896653e-06,1.4797581088746944e-06
2482,10.337499999999947,1,-,-,-
2483,10.337499999999947,2,-,-,-
2484,10.337499999999947,3,0.00011706587816529901,2.1208361686498737e-06,1.508642669248345e-06
2485,10.349999999999946,1,-,-,-
2486,10.349999999999946,2,-,-,-
2487,10.349999999999946,3,0.00011670208883259195,2.084648659587482e-06,1.461065800035586e-06
2488,10.362499999999946,1,-,-,-
2489,10.362499999999946,2,-,-,-
2490,10.362499999999946,3,0.00011635262608679382,2.113908472320392e-06,1.5017771213882345e-06
2491,10.374999999999945,1,-,-,-
2492,10.374999999999945,2,-,-,-
2493,10.374999999999945,3,0.00011599420452156677,2.091253857847499e-06,1.4449657878241006e-06
2494,10.387499999999944,1,-,-,-
2495,10.387499999999944,2,-,-,-
2496,10.387499999999944,3,0.00011565616538367712,2.108521972447226e-06,1.4971087284054318e-06
2497,10.399999999999944,1,-,-,-
2498,10.399999999999944,2,-,-,-
2499,10.399999999999944,3,0.0001153801477339882,2.0875409158275167e-06,1.4531867831010738e-06
2500,10.412499999999943,1,-,-,-
2501,10.412499999999943,2,-,-,-
2502,10.412499999999943,3,0.00011508503168110045,2.068810786347908e-06,1.4562090960882387e-06
2503,10.424999999999942,1,-,-,-
2504,10.424999999999942,2,-,-,-
2505,10.424999999999942,3,0.00011485533630247541,2.0883128238087284e-06,1.4504448602458166e-06
2506,10.437499999999941,1,-,-,-
2507,10.437499999999941,2,-,-,-
2508,10.437499999999941,3,0.00011462807705654649,2.0753374918107223e-06,1.449939736659732e-06
2509,10.44999999999994,1,-,-,-
2510,10.44999999999994,2,-,-,-
2511,10.44999999999994,3,0.00011453953419004568,2.0609248899117543e-06,1.4310917675904866e-06
2512,10.46249999999994,1,-,-,-
2513,10.46249999999994,2,-,-,-
2514,10.46249999999994,3,0.00011438507090235954,2.0933779529437834e-06,1.4809752453422868e-06
2515,10.47499999999994,1,-,-,-
2516,10.47499999999994,2,-,-,-
2517,10.47499999999994,3,0.00011433264879376455,2.0571624991654996e-06,1.416227118510484e-06
2518,10.487499999999939,1,-,-,-
2519,10.487499999999939,2,-,-,-
2520,10.487499999999939,3,0.00011426052154358005,2.081234843357581e-06,1.4692777245320256e-06
2521,10.499999999999938,1,-,-,-
2522,10.499999999999938,2,-,-,-
2523,10.499999999999938,3,0.00011421886676982627,2.0690683508571177e-06,1.4194401425014395e-06
2524,10.512499999999937,1,-,-,-
2525,10.512499999999937,2,-,-,-
2526,10.512499999999937,3,0.00011419884941509109,2.045883026514895e-06,1.4397498055643458e-06
2527,10.524999999999936,1,-,-,-
2528,10.524999999999936,2,-,-,-
2529,10.524999999999936,3,0.00011421633753804934,2.060969533863823e-06,1.4317157504831177e-06
2530,10.537499999999936,1,-,-,-
2531,10.537499999999936,2,-,-,-
2532,10.537499999999936,3,0.0001142431630485516,2.0336058386491865e-06,1.420563927652139e-06
2533,10.549999999999935,1,-,-,-
2534,10.549999999999935,2,-,-,-
2535,10.549999999999935,3,0.00011431372360888158,2.052404013075865e-06,1.433447220157888e-06
2536,10.562499999999934,1,-,-,-
2537,10.562499999999934,2,-,-,-
2538,10.562499999999934,3,0.00011436808795802911,2.035704296204239e-06,1.4270865516931788e-06
2539,10.574999999999934,1,-,-,-
2540,10.574999999999934,2,-,-,-
2541,10.574999999999934,3,0.00011443705802826869,2.035600613770642e-06,1.422587959017272e-06
2542,10.587499999999933,1,-,-,-
2543,10.587499999999933,2,-,-,-
2544,10.587499999999933,3,0.00011453657873582885,2.025205140654296e-06,1.4146164434941235e-06
